tam,burn_rate,requested_amount,milestone_count,team_experience,industry,prev_funding,is_successful
439762,12741,101928,1,0,Infrastructure,1,0
2721884,7458,134244,2,3,DeFi,0,0
6734926,8579,111527,2,9,Infrastructure,1,1
1393873,7093,191511,5,7,Infrastructure,0,0
1844689,6133,183990,7,1,Infrastructure,0,0
380060,2068,53768,3,1,DeFi,0,0
6425220,31448,660408,6,4,Gaming,0,1
62939019,19104,210144,2,7,DeFi,0,0
8508748,32927,658540,3,4,AI,0,0
199678750,6322,107474,2,2,DeFi,0,0
3257465,25882,905870,6,2,DeFi,0,0
6248342,5253,147084,5,4,DeFi,0,0
39480348,2673,53460,1,3,Gaming,0,1
21317449,5248,62976,6,2,Infrastructure,0,0
3174424,9280,222720,6,6,Infrastructure,0,1
9337521,15631,125048,7,8,Gaming,0,0
12020525,9148,246996,4,4,Infrastructure,0,0
9218028,2869,40166,6,7,DeFi,0,0
1204677,11508,345240,2,3,DeFi,0,0
32154744,7379,184475,7,4,DeFi,1,0
3088534,8731,69848,5,2,Gaming,1,0
34721961,8351,250530,4,3,SaaS,0,0
14802689,3167,95010,5,3,SaaS,1,0
9825613,4247,72199,7,6,SaaS,0,0
2947083,8109,145962,6,1,Gaming,1,0
1760564,6531,78372,6,6,AI,0,0
518867,42572,553436,3,3,SaaS,0,0
1086313,26579,398685,2,8,AI,1,1
2827127,27782,444512,6,0,Infrastructure,0,0
9958432,6080,194560,1,4,AI,0,0
7430800,28181,338172,5,8,Gaming,1,1
647168,4968,59616,3,1,DeFi,1,1
11268644,13491,121419,3,6,Gaming,1,0
140674167,167259,3177921,4,8,DeFi,0,1
6691736,5681,181792,6,4,DeFi,0,0
18342475,7947,111258,4,5,Gaming,0,0
5903149,2676,93660,5,4,SaaS,0,0
61712232,21121,654751,5,4,Infrastructure,0,0
824706,38134,800814,2,2,SaaS,0,0
8279753,1813,54390,5,0,Gaming,0,0
15863848,17402,191422,3,0,SaaS,0,0
609364,5106,97014,3,2,Gaming,0,0
3971364,7499,247467,3,5,Infrastructure,0,0
27993673,15272,244352,5,0,SaaS,0,0
268255,2792,25128,4,7,AI,1,0
1733978,26556,876348,4,1,SaaS,0,0
1490104,68589,2126259,4,6,Gaming,0,0
25618791,3267,65340,7,5,Gaming,1,1
20207950,4331,69296,3,0,AI,1,0
20793522,5982,137586,1,5,Gaming,0,0
3593749,8293,124395,3,6,AI,0,0
428617,4394,65910,1,8,Gaming,0,0
116973344,4435,150790,2,2,SaaS,0,0
2663952,6229,43603,7,0,Infrastructure,0,0
66186110,15073,376825,1,4,Gaming,0,0
1550661,8350,116900,6,2,Gaming,0,0
549017198,6964,201956,2,5,Gaming,0,0
18593738,13540,338500,2,5,SaaS,1,0
19241367,3550,35500,2,5,SaaS,0,0
15920852,82996,995952,4,5,SaaS,0,1
106994,8433,278289,3,11,Infrastructure,1,0
1165008,2082,27066,6,6,DeFi,0,1
473319,89805,2424735,7,3,DeFi,0,0
6317274,5648,67776,7,1,Gaming,0,0
7335879,3827,30616,5,10,SaaS,0,0
1245857,7366,162052,2,7,Gaming,1,1
93107647,5416,43328,7,4,DeFi,1,0
1753850,52236,1410372,4,3,SaaS,1,0
3298760,11196,223920,3,4,Gaming,0,0
641091,1590,33390,2,4,Gaming,0,0
21494576,11566,150358,4,6,Gaming,1,1
3295656,45599,410391,2,5,SaaS,1,0
638141,49464,1137672,4,6,DeFi,0,1
3003157,5998,89970,3,3,Infrastructure,0,0
1748557,20857,667424,2,9,Gaming,0,0
22178358,4025,40250,1,7,SaaS,0,0
15443335,3241,58338,3,2,Infrastructure,0,1
1020546,1617,30723,3,4,AI,1,0
11065341,1772,53160,3,7,Infrastructure,0,0
1836811,3886,89378,5,4,AI,0,1
60563,6387,178836,7,6,Gaming,0,0
15232589,59643,1610361,4,4,AI,0,0
451120,6886,234124,3,3,Gaming,0,0
19793272,10161,182898,1,12,AI,0,1
30356227,12775,357700,4,6,AI,1,0
5867723,3553,39083,7,9,AI,0,0
32755615,5817,40719,4,0,AI,0,0
1202174,1146,17190,5,4,Gaming,1,1
3890435,17026,136208,6,0,AI,0,0
67272747,17661,282576,5,3,AI,0,0
61957041,2615,78450,1,7,SaaS,1,0
661240,1980,35640,7,5,Infrastructure,0,0
104416203,25179,881265,3,9,AI,0,0
7418049,15570,280260,4,7,SaaS,1,0
1338509180,4326,129780,3,11,Infrastructure,1,1
4361679,7547,256598,1,2,DeFi,1,0
14481433,5163,154890,7,0,Infrastructure,0,0
27633385,22976,206784,5,7,SaaS,0,0
417480,27781,611182,1,6,Infrastructure,0,0
1963891,15485,356155,2,7,Infrastructure,0,1
592291,5864,105552,7,3,SaaS,0,0
28493197,1558,54530,6,7,Infrastructure,0,0
29755911,12657,442995,5,4,Gaming,0,0
3749242,9099,72792,5,7,AI,1,0
1054217,17067,119469,7,3,AI,0,0
49089946,11884,261448,3,10,Gaming,1,1
1568839,21700,347200,5,5,SaaS,0,0
3669808,11526,403410,7,4,SaaS,0,0
2664898,11972,395076,7,5,Gaming,1,0
1877788,9512,142680,2,6,Gaming,1,1
1210187,4125,94875,2,0,DeFi,1,0
12796386,24607,418319,5,7,AI,1,1
105439839,8884,266520,6,12,AI,0,0
445561,2568,30816,7,3,DeFi,0,1
5694229,2940,41160,2,3,Gaming,0,0
2279728,22249,711968,2,3,Infrastructure,0,0
92423875,3428,85700,3,3,Gaming,0,0
1460210,5665,101970,7,6,Infrastructure,0,0
8964994,42747,299229,3,5,SaaS,0,0
96482,34127,238889,6,3,AI,0,0
8635551,12999,168987,1,9,SaaS,1,1
205040151,4898,112654,4,9,Gaming,0,1
24703622,6538,169988,6,3,DeFi,0,0
8364322,17023,595805,1,2,Infrastructure,0,0
2795320,17042,545344,3,4,SaaS,1,0
1191877,7156,135964,6,9,Gaming,1,1
179420367,2918,58360,2,7,SaaS,0,0
194929719,3452,44876,2,3,AI,0,0
166163230,7271,50897,5,6,DeFi,0,0
102030,11006,209114,2,1,AI,1,0
16331399,3123,62460,3,7,Gaming,0,0
3317485,3948,51324,5,8,AI,0,0
23865482,4738,123188,1,6,DeFi,0,0
4876359,5227,130675,3,6,AI,0,0
2615554,8440,227880,6,3,AI,0,0
16732049,8323,141491,3,3,Infrastructure,0,0
4529990,6991,41946,6,5,Infrastructure,1,0
4740178,14265,185445,2,7,Gaming,1,1
27076907,600,13200,4,0,AI,0,0
10033749,38804,1241728,6,3,Gaming,1,0
24808674,39090,1211790,7,2,SaaS,0,0
7916180,10540,347820,7,6,DeFi,0,0
140039,1732,13856,7,4,Gaming,0,0
21704378,10173,162768,1,5,Gaming,1,1
648634016,5661,198135,7,1,DeFi,1,0
223794,19105,458520,4,4,SaaS,0,0
43732540,13652,477820,4,6,AI,0,0
5642310,28202,789656,5,4,SaaS,0,0
234789,2201,66030,3,4,Infrastructure,1,0
35645874,8659,233793,4,9,SaaS,0,0
173339,5534,94078,1,1,Infrastructure,0,0
21712791,982,12766,6,5,DeFi,0,0
11834891,2589,49191,5,6,SaaS,0,0
5763142,9778,224894,4,6,Gaming,0,0
118238266,3420,109440,5,3,Infrastructure,0,0
88509688,10596,74172,4,4,AI,1,0
45953837,8803,281696,7,7,SaaS,0,0
1555694,2846,65458,1,1,DeFi,0,0
87318954,8310,91410,4,4,AI,1,0
4285967,751,7510,4,3,DeFi,0,0
500971555,3463,96964,7,4,DeFi,0,0
34977718,1574,53516,5,5,Gaming,1,0
9460286,2831,93423,7,6,DeFi,0,0
5351867,78039,468234,3,3,AI,0,0
1261255,10200,234600,7,6,AI,1,0
666164,5767,201845,4,5,Gaming,1,0
9374633,8358,225666,6,1,Infrastructure,0,0
14013343,1836,45900,4,6,Gaming,0,0
54919851,11941,417935,5,7,Infrastructure,0,0
4727943,13516,351416,6,1,SaaS,1,0
2389502,25260,757800,3,5,DeFi,0,0
209227519,17863,178630,3,4,AI,0,0
11159120,16601,298818,7,5,Gaming,1,1
3697514,28634,257706,4,5,DeFi,0,0
145675,6900,89700,4,3,DeFi,0,0
10891198,7534,82874,3,8,AI,1,0
6865311,11961,83727,2,4,Gaming,0,0
241436168,9073,235898,3,4,Gaming,0,0
90821194,2227,17816,4,9,AI,1,0
175257,24040,336560,3,2,AI,0,0
35749117,8985,314475,4,3,AI,0,0
5981274,9381,206382,3,4,DeFi,0,0
1614838,13805,427955,6,7,SaaS,1,0
980957501,5600,72800,5,4,DeFi,0,1
75825091,5072,101440,3,3,Gaming,0,0
41413716,6267,131607,1,7,Infrastructure,1,1
48002746,9761,341635,2,6,DeFi,0,0
2308781,20319,243828,2,0,DeFi,1,0
109512332,8206,106678,6,3,Gaming,0,0
1824027,15062,466922,2,4,AI,0,0
112468822,13546,406380,2,1,Infrastructure,0,0
186865680,6925,110800,5,9,Infrastructure,1,1
255009,8522,247138,7,10,SaaS,0,0
3834177,1638,19656,5,10,Infrastructure,0,1
1670792,13830,179790,2,4,Gaming,0,0
1917760,37055,704045,3,3,Infrastructure,0,0
24597513,2190,54750,2,11,AI,0,1
1253314,16192,420992,6,2,DeFi,0,0
12947936,19327,483175,6,2,AI,1,0
6218568,11226,269424,2,5,SaaS,1,1
20370183,17095,273520,4,5,Gaming,0,1
587655,6012,108216,6,2,AI,0,0
7889474,71900,1366100,3,7,Gaming,1,1
834676,4070,85470,6,2,DeFi,0,0
42763483,4855,160215,2,6,DeFi,0,0
33041023,2386,38176,1,9,Gaming,0,0
495020491,42018,378162,4,2,SaaS,0,0
111162291,8267,181874,3,3,AI,1,1
6960129,1500,48000,3,3,Infrastructure,0,0
2383849,5342,122866,7,6,Infrastructure,0,0
68942469,8333,233324,6,7,Gaming,0,0
100802679,12714,203424,2,2,SaaS,0,0
15372385,8233,90563,7,4,DeFi,0,0
81277236,68867,1790542,7,1,SaaS,0,0
12428942,10447,282069,1,8,Gaming,0,0
1693289,4129,107354,5,3,SaaS,0,0
1389001,37060,741200,1,5,Gaming,0,1
2654957,2396,28752,4,5,AI,0,0
651378,1227,25767,6,4,Infrastructure,0,0
2485388,10257,358995,5,0,AI,1,0
5900463,4842,67788,1,9,SaaS,1,1
9807567,4407,44070,1,7,DeFi,0,0
5026547,16609,215917,5,2,DeFi,0,0
17412088,3860,108080,3,1,AI,0,0
18172498,2415,19320,4,4,AI,0,0
7888819,14167,198338,1,6,Infrastructure,1,1
51865,1150,14950,6,0,Gaming,1,0
28768117,17916,286656,4,0,SaaS,1,0
859498,5905,200770,6,4,Infrastructure,0,0
2802882,16533,264528,6,3,DeFi,0,1
5240625,14474,101318,3,5,DeFi,0,0
2706635,10407,197733,7,1,Gaming,0,0
17443330,4672,121472,4,3,Infrastructure,0,0
15000875,8072,80720,1,5,Gaming,0,0
3157639,18763,243919,7,0,DeFi,0,0
14210226,35953,1186449,1,4,SaaS,0,0
15447732,9687,174366,2,2,Infrastructure,1,1
343799686,7703,154060,3,6,Infrastructure,0,0
2469690,22227,533448,7,2,SaaS,0,1
430851315,3371,53936,6,6,AI,0,1
29578778,15300,443700,4,2,DeFi,0,0
6116015,24350,438300,1,0,Infrastructure,0,0
3867611,29873,418222,1,2,AI,1,1
12356271,10940,317260,2,2,AI,0,0
6987093,4541,49951,7,9,DeFi,0,0
1658106,1715,13720,4,8,DeFi,1,0
63654814,21660,628140,4,9,Gaming,0,0
56735586,2303,29939,2,10,Infrastructure,0,1
485912,5429,141154,1,8,DeFi,0,0
2553797,40416,242496,3,7,Infrastructure,0,0
2900491,8905,169195,5,5,Infrastructure,0,0
138230905,3424,37664,1,5,AI,1,0
1574515,28947,318417,2,3,AI,0,0
8015454,1573,29887,4,3,SaaS,1,1
494806862,9725,291750,1,2,Gaming,0,0
3470558,20674,413480,3,9,Gaming,1,1
39143501,11706,81942,5,0,DeFi,1,0
86175538,3949,35541,4,0,Gaming,0,0
14068902,3314,49710,1,2,SaaS,0,0
22871177,16331,391944,1,3,DeFi,0,0
6199077,4854,160182,3,8,DeFi,1,0
587109288,10978,142714,4,6,AI,1,1
3005889,20640,577920,5,6,Infrastructure,1,0
89759106,18152,417496,3,2,Infrastructure,0,0
3818523,12879,103032,4,6,Infrastructure,1,0
1901750,7154,243236,1,12,AI,0,0
121476149,20336,488064,3,2,DeFi,0,0
3841010,5534,143884,6,5,Infrastructure,0,0
4710077,20662,557874,3,3,Gaming,1,0
428343,5747,166663,5,4,DeFi,0,0
7130749,9115,309910,6,0,SaaS,0,0
41671020,47979,575748,7,0,SaaS,0,0
2771741,4375,61250,5,8,DeFi,0,1
24441636,1663,56542,1,0,Gaming,0,0
50966616,10973,153622,2,5,DeFi,1,0
5344505,13582,190148,3,5,Gaming,1,1
6175181,7562,181488,6,3,Gaming,0,1
1507795,32745,458430,7,4,DeFi,0,0
6264775,5601,162429,5,9,Gaming,0,0
548187588,2731,92854,5,6,AI,1,0
79852259,29760,208320,4,8,SaaS,1,0
7729583,21769,718377,1,6,Infrastructure,0,0
19873592,1763,52890,3,3,DeFi,0,0
6070261,17691,300747,2,4,Gaming,0,0
18250945,2186,69952,5,0,SaaS,0,0
85033,7046,225472,3,4,SaaS,0,0
371605,44567,1337010,4,2,DeFi,0,0
20549438,7474,67266,2,5,Infrastructure,0,0
23038805,2167,28171,7,7,AI,0,0
73675657,3737,29896,7,0,AI,1,0
7969194,21071,653201,1,6,SaaS,0,0
449767,12391,272602,3,11,Infrastructure,0,1
1729554,7626,144894,5,8,SaaS,0,1
19832837,26019,156114,1,5,DeFi,0,0
2326242,6349,95235,3,2,DeFi,0,0
26089028,2700,35100,2,0,AI,0,0
2319546,6783,189924,2,2,SaaS,0,0
353075,5478,98604,6,5,Gaming,0,0
30688349,2603,80693,5,5,Gaming,0,0
17993831,9130,283030,2,10,Gaming,0,0
675498,8049,257568,6,2,DeFi,1,0
20445720,5312,180608,7,1,DeFi,0,0
1492323,9842,137788,4,7,DeFi,0,1
133938153,29376,470016,1,0,Infrastructure,0,0
66533713,23257,604682,3,6,DeFi,0,0
38152591,2000,50000,2,5,Infrastructure,0,0
19781930,2611,60053,3,0,DeFi,0,0
7401613,24698,444564,5,1,SaaS,0,0
3212363,14217,284340,2,5,Infrastructure,0,1
906585,14532,261576,7,7,Gaming,0,0
8942559,25664,769920,2,4,DeFi,1,0
1075616029,7113,156486,1,2,Infrastructure,0,1
583887,11089,232869,1,3,SaaS,0,0
2003641,3993,99825,3,7,Gaming,1,0
4654904,39563,1028638,7,10,DeFi,0,0
1402260,8944,313040,7,3,Gaming,0,0
736101,10355,176035,2,2,AI,1,1
8387460,71359,713590,6,10,Gaming,1,0
4964447,28990,521820,7,6,Infrastructure,1,1
1612237,47815,1291005,4,0,Infrastructure,0,0
5684050,19124,439852,1,7,SaaS,1,1
105837186,27599,883168,3,5,DeFi,0,0
4481723,6696,127224,6,6,DeFi,1,1
7968268,10907,349024,3,4,Gaming,0,0
18498576,3123,49968,2,9,SaaS,1,1
43596964,12864,283008,3,8,AI,0,0
1647469,33598,335980,6,9,DeFi,0,0
21742379,5437,114177,5,0,Gaming,0,1
12650559,20387,326192,2,11,AI,0,1
24200999,9275,241150,4,4,Gaming,0,0
15016108,77046,1772058,6,4,DeFi,1,1
1274356,6560,39360,5,4,Infrastructure,0,0
909354,956,28680,6,2,Infrastructure,0,0
805876,14295,414555,4,0,Gaming,0,0
145648,14493,304353,2,7,Gaming,0,1
166146516,9810,78480,7,3,SaaS,0,0
3909719,16096,531168,7,3,Infrastructure,0,0
1463678,4855,106810,1,8,DeFi,0,0
7174128,7293,94809,1,9,AI,0,1
12000662,10494,73458,5,2,SaaS,0,0
60850382,1759,58047,6,7,Gaming,1,0
196126585,5501,93517,3,9,Infrastructure,0,1
42080756,6910,165840,2,8,SaaS,0,1
81367535,1844,57164,4,8,Infrastructure,0,0
6438374,171809,2061708,6,5,AI,0,1
9977825,22983,344745,1,7,SaaS,0,1
26934981,7867,259611,6,13,SaaS,0,0
173196,5513,121286,1,2,SaaS,0,0
2755067,11670,315090,3,6,Gaming,0,0
10550938,3276,39312,2,3,DeFi,0,0
86121,10839,216780,3,4,Gaming,0,0
24296156,6450,199950,5,5,Gaming,0,0
4503801,24680,542960,5,9,AI,1,1
16867638,205005,6150150,1,12,DeFi,0,0
2481583,5591,83865,4,5,Infrastructure,0,0
185830153,8773,236871,4,2,Gaming,0,0
1129537,5854,128788,4,5,SaaS,0,1
28387605,1953,11718,7,9,AI,0,0
4958852,50276,1106072,7,5,Infrastructure,0,1
34141555,9988,299640,7,0,AI,0,0
762529,4979,94601,2,7,Gaming,0,0
3558598,16932,237048,3,6,SaaS,0,1
5689756,3543,38973,6,3,Infrastructure,0,0
867130,16481,543873,6,5,Gaming,0,0
2354619,45180,948780,1,4,AI,0,0
3368094,19132,267848,5,5,Gaming,1,1
144509673,16180,485400,3,6,Gaming,0,0
3646408,14939,313719,3,4,AI,0,0
206379,6760,155480,3,0,DeFi,0,0
75460262,1319,30337,3,2,Gaming,1,1
1235710,2727,27270,2,10,Gaming,1,0
10398231,36297,689643,3,4,AI,0,0
2134760,1945,62240,3,13,AI,1,0
14528195,4371,39339,1,5,DeFi,1,0
39039625,10935,306180,1,5,Infrastructure,1,0
43468244,11461,286525,1,5,AI,0,0
26394713,5129,51290,7,1,DeFi,0,0
6085505,3262,75026,4,2,DeFi,0,0
330847837,3568,121312,5,5,SaaS,0,0
127851551,2329,51238,1,2,DeFi,0,0
20883785,4635,134415,1,8,SaaS,0,0
5418327,1489,11912,6,3,Infrastructure,1,0
34167743,48536,922184,3,7,DeFi,1,1
89839820,18974,284610,2,2,DeFi,0,0
10064147,2772,19404,4,6,SaaS,0,0
12948220,8305,224235,1,0,Infrastructure,0,0
1573899,1369,16428,1,12,AI,1,1
7443530,7139,228448,4,2,Infrastructure,0,0
126516921,2083,14581,5,4,DeFi,0,0
11572115,19074,400554,4,3,Gaming,0,0
1220018,8157,106041,2,6,Infrastructure,1,1
4529872,2823,25407,6,1,DeFi,0,0
4928988,1386,22176,3,5,Gaming,0,0
1126950,21713,390834,2,9,DeFi,0,1
4518561,20643,206430,3,5,DeFi,0,0
23706997,6868,137360,7,2,Gaming,0,0
26727523,13659,314157,2,4,Gaming,0,1
3085294,3067,64407,4,1,DeFi,0,0
146614327,4751,133028,3,6,Gaming,0,0
1612954,13376,468160,3,10,DeFi,0,0
2134120190,5126,82016,6,4,Infrastructure,1,1
11940746,1841,58912,7,4,Infrastructure,1,0
4302065,6853,143913,6,11,AI,0,1
10397391,841,10933,3,2,Infrastructure,0,0
364403,7896,63168,6,3,DeFi,0,0
37214968,3962,55468,7,3,DeFi,1,0
16373432,9182,91820,7,9,DeFi,0,0
53668515,13472,336800,3,5,SaaS,0,0
1912121,2463,24630,2,4,DeFi,0,0
34867890,4968,89424,4,1,DeFi,0,0
93086232,4064,105664,6,4,SaaS,1,0
18394322,12421,372630,7,6,SaaS,1,0
913652,1542,35466,1,4,Gaming,1,1
188117150,4088,126728,4,5,SaaS,0,0
20498663,16048,256768,4,3,Infrastructure,1,1
48272951,9989,249725,2,0,SaaS,0,0
10252383,32581,781944,5,1,DeFi,1,1
4484599,2128,46816,3,8,DeFi,1,1
4141953,2229,28977,1,8,SaaS,0,1
641760,4186,113022,6,8,Infrastructure,0,0
13433070,4292,25752,7,4,DeFi,0,0
3029195,7032,98448,1,5,DeFi,0,0
1096535,9292,297344,7,6,SaaS,0,0
20806451,8793,290169,6,6,DeFi,0,0
13769133,3439,24073,3,8,Infrastructure,1,0
1938173,517,4136,2,3,Infrastructure,0,0
1037214,2136,34176,4,3,AI,0,1
6598912,7346,88152,2,7,DeFi,0,0
37032928,116399,3608369,7,3,SaaS,0,0
358020862,6909,138180,3,0,Gaming,0,0
7573813,3380,27040,3,7,AI,0,0
112071157,6984,132696,3,3,Infrastructure,1,0
212987,4383,30681,3,9,AI,0,0
1209705,120394,2769062,1,2,Gaming,0,0
1489939,7653,91836,6,5,DeFi,1,1
851355,7120,85440,5,5,Gaming,1,1
39059390,3424,23968,1,6,SaaS,1,0
4055845,3923,133382,7,2,DeFi,1,0
16703588,6207,55863,1,12,DeFi,0,0
9612940,3223,64460,5,5,DeFi,1,1
1252930,8806,281792,1,6,AI,0,0
652906,6056,60560,3,2,SaaS,1,0
12604123,996,22908,4,6,DeFi,1,1
81014619,697,7667,3,6,DeFi,0,0
531281225,6530,143660,6,1,SaaS,0,0
1039876,2663,21304,3,9,SaaS,1,0
20148039,30328,727872,2,3,DeFi,0,0
283526,3264,42432,6,3,AI,0,0
5181999,4826,38608,6,3,SaaS,0,0
2464520,10946,361218,6,3,Infrastructure,0,0
58031374,21143,613147,6,6,AI,0,0
7114336,8733,148461,5,5,Gaming,0,1
2332718,7075,219325,2,10,Gaming,1,0
265550258,2781,55620,3,5,AI,0,0
1829243,17741,603194,1,6,AI,0,0
1910017,7727,185448,4,2,Gaming,0,0
126704621,3331,26648,3,4,DeFi,0,0
1875824,11537,138444,2,8,Infrastructure,0,1
3578584,1464,38064,5,7,AI,0,0
371144,7847,117705,5,6,AI,0,1
5644328,3594,43128,5,7,Infrastructure,0,1
34449709,34219,581723,1,5,AI,0,0
13555617,2552,76560,5,2,DeFi,1,0
29131351,14534,159874,5,4,DeFi,1,0
2377020,3874,61984,4,5,DeFi,0,0
4706929,5917,106506,3,6,DeFi,0,0
8842061,10665,319950,5,5,SaaS,1,0
6782858,17158,463266,7,5,AI,0,0
369555,2344,39848,3,1,SaaS,1,0
6123848,4074,97776,6,6,Gaming,1,1
1741233,1025,17425,5,7,DeFi,1,1
7051149,9496,189920,1,3,Gaming,0,0
34350865,40782,285474,6,1,Infrastructure,1,0
55068379,8911,98021,3,3,AI,0,0
16380101,49059,1569888,6,3,DeFi,1,0
284349,26995,431920,2,6,Gaming,1,1
8947414,19603,627296,3,1,Gaming,0,0
2196862,1636,34356,5,9,Infrastructure,1,1
245477,12242,355018,4,6,Infrastructure,1,0
880387,39425,906775,2,10,AI,0,1
4153154,4419,35352,6,6,DeFi,0,0
40214376,3952,86944,2,3,DeFi,0,0
28529995,25424,711872,1,5,AI,1,0
1913594,37907,303256,1,0,SaaS,0,0
383803144,6841,54728,4,2,DeFi,0,0
14746673,23211,603486,7,5,AI,0,0
20132866,2719,19033,1,3,DeFi,0,0
39866413,1192,41720,3,4,SaaS,0,0
443933,7308,160776,7,8,DeFi,0,1
1067251,24259,291108,6,7,DeFi,0,1
27453092,1569,47070,6,2,Gaming,0,0
17680761,11085,99765,3,7,Gaming,0,0
117589329,5383,172256,1,3,DeFi,1,0
155639325,8262,74358,1,10,SaaS,0,0
8018604,20739,124434,5,4,DeFi,0,0
216088904,16747,535904,6,9,AI,0,0
3665998,3954,86988,1,7,Infrastructure,1,1
30398671,2660,55860,5,9,Gaming,1,1
13771505,6139,73668,7,6,SaaS,0,1
97943731,12972,220524,1,8,Infrastructure,0,1
5659460,7940,206440,1,3,Infrastructure,1,0
7877219,12338,74028,2,5,AI,0,0
10485536,1192,23840,6,0,SaaS,1,0
1216982,9282,324870,7,8,AI,0,0
2088053,5396,70148,1,13,Gaming,0,1
19499968,7770,186480,1,6,DeFi,0,1
967696,21599,151193,2,6,AI,0,0
811645,96774,2419350,3,6,DeFi,0,0
769546,17653,264795,5,5,SaaS,0,0
70655392,24664,863240,2,3,Gaming,1,0
32351787,16198,485940,3,5,DeFi,0,0
742463590,37228,930700,2,1,DeFi,0,0
1612229,2313,57825,5,5,Gaming,0,0
72375697,14390,345360,2,1,DeFi,0,0
84607445,8597,275104,5,6,DeFi,0,0
130983201,5306,79590,5,6,AI,1,1
10614070,4748,109204,7,1,SaaS,0,0
80285589,7443,178632,5,10,AI,1,1
51309549,3582,107460,6,8,DeFi,0,0
458585,7349,154329,4,7,Gaming,1,1
3017403,2890,92480,3,7,Gaming,0,0
22360070,18329,439896,2,2,SaaS,0,1
2040787,5136,179760,5,3,Infrastructure,0,0
80522408,4823,159159,7,4,AI,0,0
1082144,11327,283175,5,0,AI,0,0
125760337,4186,33488,3,5,Gaming,0,0
10297641,25199,604776,5,5,DeFi,0,1
4610634035,9072,172368,2,0,SaaS,1,1
20169866,12118,387776,4,8,DeFi,0,0
2163920,6136,36816,5,1,AI,0,0
35413244,74090,2222700,4,5,SaaS,0,0
721191,6120,153000,5,11,Gaming,0,0
64362474,6494,129880,7,4,Gaming,0,0
248520,16582,182402,6,2,SaaS,0,0
46954966,6909,82908,3,1,Gaming,0,0
47499168,98156,1766808,6,2,AI,0,0
619408,12219,232161,4,9,Gaming,0,1
93300982,2268,43092,7,7,DeFi,0,0
83920391,8507,238196,2,4,AI,1,0
2806050,19049,628617,7,3,DeFi,1,0
7567216,8506,229662,3,7,DeFi,0,0
2192685,3625,36250,5,6,Infrastructure,0,0
148924716,10180,101800,2,3,AI,1,0
2375412,1852,55560,2,7,SaaS,0,0
4229734,4871,58452,2,7,DeFi,0,0
431480,1878,56340,1,9,AI,0,0
4405680,6559,177093,1,4,AI,0,0
454124,6701,167525,3,7,Infrastructure,1,1
5634591,22569,428811,4,5,SaaS,0,0
12369562,5759,143975,5,7,AI,0,0
327010077,6401,217634,2,6,Gaming,0,0
2623768,3611,54165,5,4,AI,0,0
2100177,10285,92565,1,2,Infrastructure,0,0
